PA_POP,Days after 10-01-2020,Confirmed,Deaths,Recovered,Active
12801989,1,164974,8148,131300,25526
12801989,2,166119,8167,132252,25700
12801989,3,167322,8185,132252,26885
12801989,4,168302,8200,134098,26004
12801989,5,169091,8212,134649,26230
12801989,6,170060,8228,135499,26333
12801989,7,171428,8251,134907,28270
12801989,8,172720,8272,136021,28427
12801989,9,174145,8293,137139,28713
12801989,10,175886,8326,138550,29010
12801989,11,177057,8332,138550,30175
12801989,12,178156,8350,140376,29430
12801989,13,179469,8364,139716,31389
12801989,14,180756,8393,140737,31626
12801989,15,182330,8416,142016,31898
12801989,16,183981,8438,143268,32275
12801989,17,185878,8447,144754,32677
12801989,18,187159,8470,144754,33935
12801989,19,188391,8480,146652,33259
12801989,20,189930,8521,146048,35361
12801989,21,191446,8549,147174,35723
12801989,22,193517,8577,148804,36136
12801989,23,195686,8609,148651,38426
12801989,24,197848,8637,150245,38966
12801989,25,199598,8648,150245,40705
12801989,26,201265,8660,152642,39963
12801989,27,203632,8684,152803,42145
12801989,28,205907,8707,154518,42682
12801989,29,208311,8743,156214,43354
12801989,30,210823,8772,156192,45859
12801989,31,213451,8798,158100,46553
12801989,32,215533,8801,158100,48632
12801989,33,217498,8811,161116,47571
12801989,34,220452,8841,161153,50458
12801989,35,223213,8878,163249,51086
12801989,36,226145,8923,165424,51798
12801989,37,229728,8962,165723,55043
12801989,38,233722,8999,168708,56015
12801989,39,236897,9003,168708,59186
12801989,40,240173,9006,171036,60131
12801989,41,244677,9078,171833,63766
12801989,42,249470,9135,172791,67544
12801989,43,254930,9184,176687,69059
12801989,44,260792,9212,178070,73510
12801989,45,266381,9255,178070,79056
12801989,46,271860,9294,178070,84496
12801989,47,276413,9319,183336,83758
12801989,48,282483,9353,184593,88537
12801989,49,288859,9470,186022,93367
12801989,50,295807,9580,190725,95502
12801989,51,302998,9687,192260,101051
12801989,52,309932,9787,193640,106505
12801989,53,316843,9830,193640,113373
12801989,54,321977,9858,198072,114047
12801989,55,328181,9938,202274,115969
12801989,56,335427,10080,203253,122094
12801989,57,343889,10185,203253,130451
12801989,58,351266,10210,209604,131452
12801989,59,359148,10253,214516,134379
12801989,60,364596,10319,214516,139761
12801989,61,369016,10357,216878,141781
12801989,62,374901,10529,220284,144088
12801989,63,383904,10703,225258,147943
12801989,64,394736,10886,228233,155617
12801989,65,407172,11068,231188,164916
12801989,66,419661,11210,238660,169791
12801989,67,427915,11280,238660,177975
12801989,68,435025,11345,247337,176343
12801989,69,445332,11548,248869,184915
12801989,70,453497,11746,258283,183468
12801989,71,465723,11981,265227,188515
12801989,72,478516,12195,272619,193702
12801989,73,489851,12389,279048,198414
12801989,74,499621,12514,279048,208059
12801989,75,507705,12580,289863,205262
12801989,76,517682,12827,295405,209450
12801989,77,527913,13145,306427,208341
12801989,78,537643,13361,317601,206681
12801989,79,546998,13579,323193,210226
12801989,80,557260,13790,334578,208892
12801989,81,563725,13879,334578,215268
12801989,82,571497,13937,343789,213771
12801989,83,579865,14255,348646,216964
12801989,84,589755,14512,360316,214927
12801989,85,598535,14767,371943,211825
12801989,86,605569,14902,371943,218724
12801989,87,612851,14926,381238,216687
12801989,88,617935,15044,381238,221653
12801989,89,621620,15134,392834,213652
12801989,90,630681,15422,404526,210733
12801989,91,640180,15742,416679,207759
12801989,92,648574,16030,429017,203527
12801989,93,657071,16245,429017,211809
12801989,94,664966,16273,453531,195162
12801989,95,669818,16331,453531,199956
12801989,96,673448,16432,465567,191449
12801989,97,682182,16631,471740,193811
12801989,98,692111,16989,485206,189916
12801989,99,701578,17251,499022,185305
12801989,100,712142,17458,513383,181301
12801989,101,721820,17710,520490,183620
12801989,102,729133,17804,520490,190839
12801989,103,734369,17892,537353,179124
12801989,104,741976,18137,542737,181102
12801989,105,750160,18484,556041,175635
12801989,106,756691,18784,568908,168999
12801989,107,763448,19009,573504,170935
12801989,108,770347,19223,578950,172174
12801989,109,776132,19336,578950,177846
12801989,110,780111,19411,594320,166380
12801989,111,785743,19494,598433,167816
12801989,112,791405,19881,610872,160652
12801989,113,797222,20136,615290,161796
12801989,114,802601,20340,627395,154866
12801989,115,808464,20527,631966,155971
12801989,116,812285,20606,631966,159713
12801989,117,816073,20668,638214,157191
12801989,118,821184,20895,641871,158418
12801989,119,826760,21111,654695,150954
12801989,120,833757,21301,667768,144688
12801989,121,842180,21470,675578,145132
12801989,122,847677,21598,688175,137904
12801989,123,851634,21656,688175,141803
12801989,124,854991,21695,693783,139513
12801989,125,858744,21820,697400,139524
12801989,126,861886,21961,708501,131424
12801989,127,865248,22091,719868,123289
12801989,128,870306,22251,723806,124249
12801989,129,874445,22396,735763,116286
12801989,130,878823,22460,735763,120600
12801989,131,881186,22489,735763,122934
12801989,132,885656,22631,745376,117649
12801989,133,888742,22757,757050,108935
12801989,134,892813,22871,760471,109471
12801989,135,896305,22975,772782,100548
12801989,136,900165,23070,776339,100756
12801989,137,902636,23095,776339,103202
12801989,138,904523,23116,776339,105068
12801989,139,906935,23131,791328,92476
12801989,140,910439,23316,794332,92791
12801989,141,913732,23414,797275,93043
12801989,142,916529,23490,799720,93319
12801989,143,919364,23565,811315,84484
12801989,144,921285,23592,811315,86378
12801989,145,922788,23608,814366,84814
12801989,146,925690,23705,816884,85101
12801989,147,925690,23705,816884,85101
12801989,148,930910,23863,830691,76356
12801989,149,934328,23921,833702,76705
12801989,150,937812,23922,836727,77163
12801989,151,939627,23995,836727,78905
12801989,152,941357,24011,849275,68071
12801989,153,941357,24011,849275,68071
12801989,154,946543,24152,844569,77822
12801989,155,949808,24230,856709,68869
12801989,156,952483,24274,859218,68991
12801989,157,955354,24327,859218,71809
